name,noc,team,sport,sex,age,event,rank,medal
Adenegan Kare,GBR,Great Britain,Athletics,Female,20,Women's 100m - T34,2,Silver
Adenegan Kare,GBR,Great Britain,Athletics,Female,20,Women's 800m - T34,2,Silver
Adesokan Yakubu,NGR,Nigeria,Powerlifting,Male,42,Men's -49 kg,4,NA
Adler Anja,GER,Germany,Canoe Sprint,Female,32,Women's Kayak Single 200m - KL2,4,NA
Adolphe Timothee,FRA,France,Athletics,Male,31,Men's 100m - T11,2,Silver
Adolphe Timothee,FRA,France,Athletics,Male,31,Men's 400m - T11,NA,NA
Adolphe Timothee,FRA,France,Athletics,Male,31,4x100m Universal Relay,NA,NA
Adonina Daria,RPC,RPC,Boccia,Female,18,Pairs - BC4,3,Bronze
Adzhametova Leilia,UKR,Ukraine,Athletics,Female,27,Women's 100m - T13,6,NA
Adzhametova Leilia,UKR,Ukraine,Athletics,Female,27,Women's 400m - T13,NA,NA
Aere Katia,ITA,Italy,Cycling Road,Female,50,Women's H5 Road Race,3,Bronze
Aere Katia,ITA,Italy,Cycling Road,Female,50,Women's H4-5 Time Trial,6,NA
Afri Mahdi,MAR,Morocco,Athletics,Male,25,Men's 100m - T12,NA,NA
Afri Mahdi,MAR,Morocco,Athletics,Male,25,Men's 400m - T12,4,NA
Afrooz Saeid,IRI,Islamic Republic of Iran,Athletics,Male,30,Men's Javelin Throw - F34,1,Gold
Agalakov Roman,KAZ,Kazakhstan,Swimming,Male,26,Men's 50m Freestyle - S13,NA,NA
Agalakov Roman,KAZ,Kazakhstan,Swimming,Male,26,Men's 100m Butterfly - S13,NA,NA
Agblemagnon Gloria,FRA,France,Athletics,Female,23,Women's Shot Put - F20,8,NA
Agripino Dos Santos Julio Cesar,BRA,Brazil,Athletics,Male,30,Men's 1500m - T11,NA,NA
Agripino Dos Santos Julio Cesar,BRA,Brazil,Athletics,Male,30,Men's 5000m - T11,7,NA
Aguilar Carmona Vicente,ESP,Spain,Football 5-a-side,Male,51,Men,6,NA
Aguilera Cruz Ulicer,CUB,Cuba,Athletics,Male,31,Men's Javelin Throw - F13,4,NA
Agunbiade Tajudeen,NGR,Nigeria,Table Tennis,Male,46,Men's Team - Class 9-10,3,Bronze
Agunbiade Tajudeen,NGR,Nigeria,Table Tennis,Male,46,Men's Singles - Class 9,5,NA
Ahlquist Anna Carin,SWE,Sweden,Table Tennis,Female,49,Women's Team - Classes 4-5,2,Silver
Ahlquist Anna Carin,SWE,Sweden,Table Tennis,Female,49,Women's Singles - Class 3,5,NA
Ahmad Tarmizi Zuhairi,MAS,Malaysia,Cycling Road,Male,31,Men's C5 Time Trial,NA,NA
Ahmadi Amirreza,IRI,Islamic Republic of Iran,Wheelchair Basketball,Male,20,Men,9,NA
Ahmed Aya,EGY,Egypt,Goalball,Female,25,Women,10,NA
Ahmed Mohamed,EGY,Egypt,Powerlifting,Male,39,Men's -97 kg,6,NA
Ahmed Rehab,EGY,Egypt,Powerlifting,Female,30,Women's -50 kg,2,Silver
Ai Xinliang,CHN,People's Republic of China,Archery,Male,24,Men's Individual Compound - Open,3,Bronze
Aingchaiyaphum Phuchit,THA,Thailand,Swimming,Male,20,Men's 100m Freestyle - S5,NA,NA
Aingchaiyaphum Phuchit,THA,Thailand,Swimming,Male,20,Men's 200m Freestyle - S5,NA,NA
Ait Al Hakem Abdellali,MAR,Morocco,Football 5-a-side,Male,27,Men,3,Bronze
Ait Bajja Elhabib,MAR,Morocco,Football 5-a-side,Male,23,Men,3,Bronze
Aitchison Danielle,NZL,New Zealand,Athletics,Female,20,Women's 100m - T36,3,Bronze
Aitchison Danielle,NZL,New Zealand,Athletics,Female,20,Women's 200m - T36,2,Silver
Ajeet Singh,IND,India,Athletics,Male,28,Men's Javelin Throw - F46,8,NA
Akai Daiki,JPN,Japan,Athletics,Male,22,Men's 1500m - T20,5,NA
Akaishi Ryuga,JPN,Japan,Wheelchair Basketball,Male,20,Men,2,Silver
Akakura Sachie,JPN,Japan,Sitting Volleyball,Female,47,Women,8,NA
Akash,IND,India,Shooting,Male,31,P3 - Mixed 25m Pistol SH1,20,NA
Akash,IND,India,Shooting,Male,31,P4 - Mixed 50m Pistol SH1,27,NA
Akbar Komet,INA,Indonesia,Table Tennis,Male,35,Men's Team - Class 9-10,9,NA
Akbar Komet,INA,Indonesia,Table Tennis,Male,35,Men's Singles - Class 10,5,NA
Akbulut Oguz,TUR,Turkey,Athletics,Male,29,Men's 400m - T12,NA,NA
Akermach Rajae,MAR,Morocco,Taekwondo,Female,24,Women K44 +58kg,NA,NA
Akhmatkhonova Dilafruzkhon,UZB,Uzbekistan,Athletics,Female,31,Women's Shot Put - F35,4,NA
Akita Kei,JPN,Japan,Wheelchair Basketball,Male,31,Men,2,Silver
Akkaya Hakan,TUR,Turkey,Wheelchair Fencing,Male,26,Men's Foil Individual - Category A,13,NA
Akkaya Hakan,TUR,Turkey,Wheelchair Fencing,Male,26,Men's Épée Individual - Category A,11,NA
Aksoy Ridvan,TUR,Turkey,Wheelchair Basketball,Male,21,Men,6,NA
Aksoy Vedat,TUR,Turkey,Archery,Male,33,Men's Individual Recurve - Open,9,NA
Al Harrasi Taha,OMA,Oman,Athletics,Male,27,Men's 100m - T36,NA,NA
Al Harrasi Taha,OMA,Oman,Athletics,Male,27,Men's Long Jump - T36,9,NA
Al Hussein Ibrahim,RPT,Refugee Paralympic Team,Swimming,Male,32,Men's 50m Freestyle - S9,NA,NA
Al Hussein Ibrahim,RPT,Refugee Paralympic Team,Swimming,Male,32,Men's 100m Breaststroke - SB8,NA,NA
Al Khalifa Anas,RPT,Refugee Paralympic Team,Canoe Sprint,Male,28,Men's Kayak Single 200m - KL1,9,NA
Al Khalifa Anas,RPT,Refugee Paralympic Team,Canoe Sprint,Male,28,Men's Va'a Single 200m - VL2,11,NA
Al Mashaykhi Mohammed,OMA,Oman,Athletics,Male,30,Men's Shot Put - F32,3,Bronze
Al Mashaykhi Mohammed,OMA,Oman,Athletics,Male,30,Men's Club Throw - F32,9,NA
Al-ageeli Faris,IRQ,Iraq,Powerlifting,Male,47,Men's +107 kg,3,Bronze
Al-darraji Ali,IRQ,Iraq,Powerlifting,Male,39,Men's -54 kg,7,NA
Al-madhkhoori Zainulabdeen,IRQ,Iraq,Wheelchair Fencing,Male,30,Men's Foil Individual - Category A,14,NA
Al-madhkhoori Zainulabdeen,IRQ,Iraq,Wheelchair Fencing,Male,30,Men's Épée Individual - Category A,7,NA
Al-madhkhoori Zainulabdeen,IRQ,Iraq,Wheelchair Fencing,Male,30,Men's Épée Team,5,NA
Al-majidi Hanan,IRQ,Iraq,Powerlifting,Female,30,Women's -86 kg,NA,NA
Al-ogaili Hayder,IRQ,Iraq,Wheelchair Fencing,Male,27,Men's Épée Team,5,NA
Al-rikabi Ali,IRQ,Iraq,Athletics,Male,28,Men's 400m - T38,4,NA
Al-saedi Zaman,IRQ,Iraq,Archery,Female,38,Women's Individual Recurve - Open,17,NA
Alamar Garcia Sergio,ESP,Spain,Football 5-a-side,Male,20,Men,6,NA
Alaryani Abdulla Saif,UAE,United Arab Emirates,Shooting,Male,45,R6 - Mixed 50m Rifle Prone SH1,47,NA
Alaryani Abdulla Saif,UAE,United Arab Emirates,Shooting,Male,45,R7 - Men's 50m Rifle 3 Positions SH1,16,NA
Alaryani Abdulla Sultan,UAE,United Arab Emirates,Shooting,Male,51,R1 - Men's 10m Air Rifle Standing SH1,18,NA
Alaryani Abdulla Sultan,UAE,United Arab Emirates,Shooting,Male,51,R3 - Mixed 10m Air Rifle Prone SH1,37,NA
Alaryani Abdulla Sultan,UAE,United Arab Emirates,Shooting,Male,51,R6 - Mixed 50m Rifle Prone SH1,18,NA
Alaryani Abdulla Sultan,UAE,United Arab Emirates,Shooting,Male,51,R7 - Men's 50m Rifle 3 Positions SH1,1,Gold
Albertsdottir Arna,ISL,Iceland,Cycling Road,Female,31,Women's H1-4 Road Race,15,NA
Albertsdottir Arna,ISL,Iceland,Cycling Road,Female,31,Women's H1-3 Time Trial,11,NA
Albrecht Dominik,GER,Germany,Sitting Volleyball,Male,34,Men,6,NA
Albrecht Jens Eicke,GER,Germany,Wheelchair Basketball,Male,30,Men,7,NA
Albury Simon,AUS,Australia,Rowing,Male,39,PR2 Mixed Double Sculls - PR2Mix2x,7,NA
Alcalde Rodriguez Roberto,BRA,Brazil,Swimming,Male,29,Men's 100m Breaststroke - SB5,7,NA
Alcalde Rodriguez Roberto,BRA,Brazil,Swimming,Male,29,Men's 200m Individual Medley - SM6,NA,NA
Alcazar Figueroa Matilde Estefania,MEX,Mexico,Swimming,Female,26,Women's 400m Freestyle - S11,5,NA
Alcazar Figueroa Matilde Estefania,MEX,Mexico,Swimming,Female,26,Women's 100m Backstroke - S11,NA,NA
Alcazar Figueroa Matilde Estefania,MEX,Mexico,Swimming,Female,26,Women's 200m Individual Medley - SM11,NA,NA
Alcoba Membrilla Maria Montserrat,ESP,Spain,Powerlifting,Female,40,Women's -79 kg,7,NA
Alcott Dylan,AUS,Australia,Wheelchair Tennis,Male,30,Quad Singles,1,Gold
Alcott Dylan,AUS,Australia,Wheelchair Tennis,Male,30,Quad Doubles,2,Silver
Aldayyeni Najlah,IRQ,Iraq,Table Tennis,Female,16,Women's Singles - Class 6,NA,NA
Alejos Alonso Agustin,ESP,Spain,Wheelchair Basketball,Male,33,Men,4,NA
Alencon Katell,FRA,France,Cycling Road,Female,34,Women's C4-5 Road Race,NA,NA
Alencon Katell,FRA,France,Cycling Road,Female,34,Women's C4 Time Trial,5,NA
Alexander Natalie,AUS,Australia,Wheelchair Basketball,Female,30,Women,9,NA
Alganaidl Fahad,KSA,Saudi Arabia,Athletics,Male,36,Men's 100m - T53,7,NA
Alhajaj Tharwh Tayseer Hamdan,JOR,Jordan,Powerlifting,Female,48,Women's -86 kg,NA,NA
Alhammadi Mohamed,UAE,United Arab Emirates,Athletics,Male,36,Men's 100m - T34,3,Bronze
Alhammadi Mohamed,UAE,United Arab Emirates,Athletics,Male,36,Men's 800m - T34,2,Silver
Alhasan Fatema,SYR,Syrian Arab Republic,Powerlifting,Female,43,Women's -61 kg,6,NA
Ali Amany,EGY,Egypt,Powerlifting,Female,45,Women's -86 kg,4,NA
Ali Ammar,IRQ,Iraq,Wheelchair Fencing,Male,36,Men's Épée Individual - Category B,5,NA
Ali Ammar,IRQ,Iraq,Wheelchair Fencing,Male,36,Men's Sabre Individual - Category B,NA,NA
Ali Ammar,IRQ,Iraq,Wheelchair Fencing,Male,36,Men's Épée Team,5,NA
Ali Haider,PAK,Pakistan,Athletics,Male,36,Men's Discus Throw - F37,1,Gold
Ali Huda,IRQ,Iraq,Powerlifting,Female,44,Women's +86 kg,8,NA
Ali Pour Meisam,IRI,Islamic Republic of Iran,Sitting Volleyball,Male,32,Men,1,Gold
Alibasic Safet,BIH,Bosnia and Herzegovina,Sitting Volleyball,Male,38,Men,3,Bronze
Aliboeva Vasila,UZB,Uzbekistan,Judo,Female,26,Women -70 kg,NA,NA
Aliekseienko Oleksandr,ISR,Israel,Athletics,Male,37,Men's Shot Put - F34,9,NA
Alieva Maliak,RPC,RPC,Table Tennis,Female,26,Women's Team - Classes 6-8,3,Bronze
Alieva Maliak,RPC,RPC,Table Tennis,Female,26,Women's Singles - Class 6,2,Silver
Alim Nur Syahidah,SGP,Singapore,Archery,Female,36,Women's Individual Compound - Open,9,NA
Alinajimi Vahid,IRI,Islamic Republic of Iran,Athletics,Male,25,Men's 100m - T13,NA,NA
Alinajimi Vahid,IRI,Islamic Republic of Iran,Athletics,Male,25,Men's 400m - T13,NA,NA
Alipourian Davoud,IRI,Islamic Republic of Iran,Sitting Volleyball,Male,36,Men,1,Gold
Aliyev Kamil,AZE,Azerbaijan,Athletics,Male,29,Men's Long Jump - T12,5,NA
Aljneibi Sara,UAE,United Arab Emirates,Athletics,Female,28,Women's Shot Put - F33,7,NA
Aljumaah Sarah,KSA,Saudi Arabia,Athletics,Female,42,Women's Shot Put - F36,6,NA
Aljuneidi Mutaz Zakaria Daoud,JOR,Jordan,Powerlifting,Male,45,Men's -97 kg,4,NA
Alkan Huseyin,TUR,Turkey,Goalball,Male,33,Men,8,NA
Alkemade Kimberly,NED,Netherlands,Athletics,Female,31,Women's 100m - T64,5,NA
Alkemade Kimberly,NED,Netherlands,Athletics,Female,31,Women's 200m - T64,3,Bronze
Alktebi Noura,UAE,United Arab Emirates,Athletics,Female,28,Women's Shot Put - F32,4,NA
Alktebi Noura,UAE,United Arab Emirates,Athletics,Female,28,Women's Club Throw - F32,6,NA
Allan Gordon,AUS,Australia,Cycling Track,Male,23,Men's C1-3 1000m Time Trial,5,NA
Allan Gordon,AUS,Australia,Cycling Track,Male,23,Mixed C1-5 750m Team Sprint,9,NA
Allard Danik,CAN,Canada,Boccia,Male,20,Individual - BC2,13,NA
Allen Grant,AUS,Australia,Cycling Road,Male,41,Men's H4 Road Race,6,NA
Allen Grant,AUS,Australia,Cycling Road,Male,41,Men's H4 Time Trial,6,NA
Almansoori Ahmad Mubarak,UAE,United Arab Emirates,Cycling Road,Male,40,Men's C1-3 Road Race,NA,NA
Almansoori Ahmad Mubarak,UAE,United Arab Emirates,Cycling Road,Male,40,Men's C2 Time Trial,14,NA
Almehairi Ayesha,UAE,United Arab Emirates,Shooting,Female,45,R4 - Mixed 10m Air Rifle Standing SH2,22,NA
Almehairi Ayesha,UAE,United Arab Emirates,Shooting,Female,45,R5 - Mixed 10m Air Rifle Prone SH2,35,NA
Almeida Ramos Aser Mateus,BRA,Brazil,Athletics,Male,30,Men's 100m - T36,6,NA
Almeida Ramos Aser Mateus,BRA,Brazil,Athletics,Male,30,Men's Long Jump - T36,4,NA
Almlie Jazmin,USA,United States of America,Shooting,Female,39,R4 - Mixed 10m Air Rifle Standing SH2,17,NA
Almlie Jazmin,USA,United States of America,Shooting,Female,39,R5 - Mixed 10m Air Rifle Prone SH2,16,NA
Almonacid Heyl Vicente Enrique,CHI,Chile,Swimming,Male,20,Men's 100m Breaststroke - SB8,8,NA
Almutairi Ahmad,KUW,Kuwait,Athletics,Male,27,Men's 100m - T33,2,Silver
Almyrisl Maryam,KSA,Saudi Arabia,Table Tennis,Female,39,Women's Singles - Classes 1-2,NA,NA
Alnakhli Ali,KSA,Saudi Arabia,Athletics,Male,21,Men's 100m - T37,6,NA
Alnakhli Ali,KSA,Saudi Arabia,Athletics,Male,21,Men's 200m - T37,7,NA
Alnuaimi Saif,UAE,United Arab Emirates,Shooting,Male,43,R3 - Mixed 10m Air Rifle Prone SH1,25,NA
Alnuaimi Saif,UAE,United Arab Emirates,Shooting,Male,43,R6 - Mixed 50m Rifle Prone SH1,6,NA
Alomari Rooba,BRN,Bahrain,Athletics,Female,30,Women's Discus Throw - F55,5,NA
Alonso Morales Michelle,ESP,Spain,Swimming,Female,27,Women's 200m Freestyle - S14,8,NA
Alonso Morales Michelle,ESP,Spain,Swimming,Female,27,Women's 100m Breaststroke - SB14,1,Gold
Alonso Vilarino Maria,ESP,Spain,Wheelchair Basketball,Female,39,Women,8,NA
Alphonse Marie Emmanuelle Anais,MRI,Mauritius,Athletics,Female,25,Women's 100m - T54,5,NA
Alphonse Marie Emmanuelle Anais,MRI,Mauritius,Athletics,Female,25,Women's 400m - T54,6,NA
Alphonse Marie Emmanuelle Anais,MRI,Mauritius,Athletics,Female,25,Women's 800m - T54,7,NA
Alphonse Marie Emmanuelle Anais,MRI,Mauritius,Athletics,Female,25,Women's 1500m - T54,10,NA
Alqurashi Adbulrahman,KSA,Saudi Arabia,Athletics,Male,23,Men's 100m - T53,3,Bronze
Alqurashi Adbulrahman,KSA,Saudi Arabia,Athletics,Male,23,Men's 400m - T53,NA,NA
Alraoad Naseb Fateh Mohammed,YEM,Yemen,Athletics,Male,33,Men's Shot Put - F57,14,NA
Altin Fatma Damla,TUR,Turkey,Athletics,Female,18,Women's Long Jump - T20,7,NA
Altintas Nergiz,TUR,Turkey,Table Tennis,Female,31,Women's Team - Classes 1-3,5,NA
Altintas Nergiz,TUR,Turkey,Table Tennis,Female,31,Women's Singles - Class 3,NA,NA
Altunoluk Sevda,TUR,Turkey,Goalball,Female,27,Women,1,Gold
Altunoluk Sevtap,TUR,Turkey,Goalball,Female,26,Women,1,Gold
Alves Ricardo,BRA,Brazil,Football 5-a-side,Male,32,Men,1,Gold
Alves Roca Heriberto,BRA,Brazil,Archery,Male,41,Men's Individual Recurve - Open,17,NA
Alves Roca Heriberto,BRA,Brazil,Archery,Male,41,Mixed Team Recurve - Open,9,NA
Alzate Guillermo,COL,Colombia,Wheelchair Basketball,Male,38,Men,11,NA
Alzeyoudi Maryam,UAE,United Arab Emirates,Athletics,Female,26,Women's Discus Throw - F41,NA,NA
Alzeyoudi Mozah,UAE,United Arab Emirates,Powerlifting,Female,28,Women's -55 kg,9,NA
Amadu Yusif,GHA,Ghana,Athletics,Male,43,Men's High Jump - T63,9,NA
Amaimia Fathia,TUN,Tunisia,Athletics,Female,32,Women's Discus Throw - F41,4,NA
Amanzhol Zhanbota,KAZ,Kazakhstan,Judo,Male,24,Men -90 kg,5,NA
Amaral Santos Marliane,BRA,Brazil,Table Tennis,Female,29,Women's Team - Classes 1-3,5,NA
Amaral Santos Marliane,BRA,Brazil,Table Tennis,Female,29,Women's Singles - Class 3,NA,NA
Amchi Mohamed Nadjib,ALG,Algeria,Athletics,Male,30,Men's Shot Put - F32,5,NA
Amer Ahmed,EGY,Egypt,Sitting Volleyball,Male,36,Men,5,NA
Amguoun Mohamed,MAR,Morocco,Athletics,Male,32,Men's 400m - T13,2,Silver
Amimoto Mari,JPN,Japan,Wheelchair Basketball,Female,32,Women,6,NA
Amiri Hamed,IRI,Islamic Republic of Iran,Athletics,Male,39,Men's Javelin Throw - F54,1,Gold
Amnir Wassime,BEL,Belgium,Goalball,Male,30,Men,6,NA
Amodeo Alberto,ITA,Italy,Swimming,Male,20,Men's 100m Freestyle - S8,7,NA
Amodeo Alberto,ITA,Italy,Swimming,Male,20,Men's 400m Freestyle - S8,2,Silver
Amodeo Alberto,ITA,Italy,Swimming,Male,20,Men's 100m Butterfly - S8,6,NA
Amorim Muniz De Oliveira Caio,BRA,Brazil,Swimming,Male,28,Men's 100m Freestyle - S8,NA,NA
Amorim Muniz De Oliveira Caio,BRA,Brazil,Swimming,Male,28,Men's 400m Freestyle - S8,6,NA
Amorim Victoria,BRA,Brazil,Goalball,Female,23,Women,4,NA
Amoudi Saida,MAR,Morocco,Athletics,Female,41,Women's Shot Put - F34,3,Bronze
Amoudi Saida,MAR,Morocco,Athletics,Female,41,Women's Javelin Throw - F34,6,NA
Andaloussi Ahmed,FRA,France,Triathlon,Male,49,Men's PTWC,5,NA
Anderson Corey,AUS,Australia,Athletics,Male,21,Men's Javelin Throw - F38,4,NA
Anderson Patrick,CAN,Canada,Wheelchair Basketball,Male,42,Men,8,NA
Anderson Shaun,RSA,South Africa,Archery,Male,48,Men's Individual - W1,9,NA
Andersson Emil,SWE,Sweden,Table Tennis,Male,28,Men's Team - Class 8,5,NA
Andersson Emil,SWE,Sweden,Table Tennis,Male,28,Men's Singles - Class 8,9,NA
Andrade Avelino,POR,Portugal,Boccia,Male,40,Individual - BC3,16,NA
Andrade Avelino,POR,Portugal,Boccia,Male,40,Pairs - BC3,10,NA
Andrade De Freitas David,BRA,Brazil,Table Tennis,Male,43,Men's Singles - Class 3,9,NA
Andrade Guillen Luis Armando,MEX,Mexico,Swimming,Male,26,Men's 100m Freestyle - S8,8,NA
Andrade Guillen Luis Armando,MEX,Mexico,Swimming,Male,26,Men's 100m Butterfly - S8,7,NA
Andrade Guillen Luis Armando,MEX,Mexico,Swimming,Male,26,Men's 200m Individual Medley - SM8,NA,NA
Andre Fabienne,GBR,Great Britain,Athletics,Female,24,Women's 100m - T34,5,NA
Andre Fabienne,GBR,Great Britain,Athletics,Female,24,Women's 800m - T34,4,NA
Andreeva Nadezda,RPC,RPC,Canoe Sprint,Female,42,Women's Kayak Single 200m - KL2,6,NA
Andrejcik Samuel,SVK,Slovakia,Boccia,Male,24,Individual - BC4,1,Gold
Andrejcik Samuel,SVK,Slovakia,Boccia,Male,24,Pairs - BC4,1,Gold
Andres Barrio Sara,ESP,Spain,Athletics,Female,35,Women's 100m - T64,7,NA
Andres Barrio Sara,ESP,Spain,Athletics,Female,35,Women's Long Jump - T64,10,NA
Andrievskaia Tatiana,RPC,RPC,Archery,Female,43,Women's Individual Compound - Open,17,NA
Angeline Anais Anne Lise,MRI,Mauritius,Athletics,Female,22,Women's 100m - T37,NA,NA
Angeline Anais Anne Lise,MRI,Mauritius,Athletics,Female,22,Women's 200m - T37,NA,NA
Angeline Anais Anne Lise,MRI,Mauritius,Athletics,Female,22,Women's Long Jump - T37,7,NA
Anila Izzat Baig Anila,PAK,Pakistan,Athletics,Female,30,Women's Discus Throw - F64,10,NA
Anjos Alex,STP,Sao Tome and Principe,Athletics,Male,30,Men's 400m - T47,NA,NA
Anker Carlos,NED,Netherlands,Wheelchair Tennis,Male,25,Men's Singles,33,NA
Anker Carlos,NED,Netherlands,Wheelchair Tennis,Male,25,Men's Doubles,5,NA
